Day	T1_pH	T2_pH	T3_pH	T4_pH	T5_pH	T1_DO	T2_DO	T3_DO	T4_DO	T5_DO	T1_AS	T2_AS	T3_AS	T4_AS	T5_AS
1	5.7	5.5	5.1	5	6.2	4.4	4.9	6	6.1	6.5	40	32	NA	34	28
2	5.6	5.1	4.5	4.8	6.2	4.1	4.7	NA	5.6	6.3	40	40	NA	40	32
3	5.7	5.1	6	5.4	6.1	4	5.2	5.7	6.3	6.1	40	40	34	38	33
4	5.7	5.9	6	4.9	6.4	5	6.3	5.6	5.8	6.8	NA	NA	NA	NA	NA
5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
6	5.2	6.4	6	5.2	6.2	5.7	5.8	5.4	6.9	6.9	NA	NA	NA	NA	NA
7	5.7	5.9	5.9	5.2	6.1	4.5	5.1	5.7	5.9	6.7	38	38	33	39	28
8	5.6	5.6	5.6	5.3	6	6.4	5.3	5.4	6.4	6.7	40	40	39	39	32
9	5.8	5.4	5.5	5.9	6	4.3	5.1	5	5.7	6.3	40	40	39	39	31
10	6	5.8	5.2	5.7	5.9	4.5	5.4	4.4	5.1	6.4	40	40	39	38	32
11	6	6.1	5.6	6.2	6	5.1	5.6	5.1	5.5	5.9	NA	NA	NA	NA	NA
12	5.8	5.6	5.7	6.3	6.4	6.1	6.4	6	6.4	6.9	NA	NA	NA	NA	NA
13	6.2	6.3	5.1	6.3	6.4	5.7	6.5	5.1	5.8	6.7	38	39	39	30	31
14	5.8	5.8	5.6	6.2	6.3	3.7	4.6	4.8	4.5	6.9	40	40	39	32	30
15	5.8	5.5	5.1	6.2	5.9	4.4	5.8	4.1	5.1	5.8	40	40	39	37	33
16	5.6	5.5	5.2	6.2	5.8	5.3	6.1	5.1	6.1	5.8	40	40	39	NA	30
17	5.5	5.4	5.2	6.4	5.6	4.4	4.5	4.2	4.7	4.3	40	40	39	34	30
18	5.7	6	6.6	5.8	6.1	6.3	6.7	6.6	6.3	6.3	39	40	38	36	29
19	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
20	5.2	6	6	6.6	6.1	4.4	5.2	3.9	5.7	5.4	39	39	37	29	28
21	6.1	6.2	6.2	6.3	6.2	5.3	5.9	5.7	5.7	6.1	40	40	40	33	24
22	5.6	5.6	5.7	5.4	5.5	4.4	4.4	4.3	5	4.6	40	40	33	34	29
23	5.7	5.6	4.9	4.8	5.7	4.1	5.2	5.3	5.3	6.5	40	40	NA	39	NA
24	5.3	5.2	5.9	4.7	6.2	5	4.5	4.3	4.7	4.1	40	40	39	39	25
25	5.5	5.6	5.9	5.4	6.5	6.5	6.9	6.8	7.2	6.9	39	40	36	33	25
