Sample.ID	Tank	Day
S_1001	1	1
S_1002	1	2
S_1003	1	3
S_1004	1	4
S_1005	1	5
S_1006	1	6
S_1007	1	7
S_1008	1	8
S_1009	1	9
S_1010	1	10
S_1011	1	11
S_1012	1	12
S_1013	1	13
S_1014	1	14
S_1015	1	15
S_1016	1	16
S_1017	1	17
S_1018	1	18
S_1019	1	19
S_1020	1	20
S_1021	1	21
S_1022	1	22
S_1023	1	23
S_1026	1	26
S_1027	1	27
S_1028	1	28
S_1029	1	29
S_1030	1	30
S_1031	1	31
S_1032	1	32
S_1033	1	33
S_1034	1	34
S_1035	1	35
S_1036	1	36
S_1037	1	37
S_1038	1	38
S_1039	1	39
S_1040	1	40
S_1041	1	41
S_1042	1	42
S_1043	1	43
S_1044	1	44
S_1045	1	45
S_1046	1	46
S_1047	1	47
S_1048	1	48
S_1049	1	49
S_1050	1	50
S_1051	1	51
S_1052	1	52
S_1053	1	53
S_1054	1	54
S_1055	1	55
S_1056	1	56
S_1057	1	57
S_1058	1	58
S_1059	1	59
S_1060	1	60
S_1061	1	61
S_1062	1	62
S_1063	1	63
S_1064	1	64
S_1065	1	65
S_1066	1	66
S_1067	1	67
S_1068	1	68
S_1069	1	69
S_1070	1	70
S_1071	1	71
S_1072	1	72
S_1073	1	73
S_1074	1	74
S_1075	1	75
S_1076	1	76
S_1077	1	77
S_1078	1	78
S_1079	1	79
S_1080	1	80
S_1081	1	81
S_1082	1	82
S_1083	1	83
S_1084	1	84
S_1085	1	85
S_1086	1	86
S_1087	1	87
S_1088	1	88
S_1089	1	89
S_1090	1	90
S_1091	1	91
S_1092	1	92
S_1093	1	93
S_1094	1	94
S_1095	1	95
S_1096	1	96
S_1097	1	97
S_1098	1	98
S_1099	1	99
S_1100	1	100
S_1104	1	104
S_1105	1	105
S_1107	1	107
S_1108	1	108
S_1109	1	109
S_1110	1	110
S_1111	1	111
S_1112	1	112
S_1113	1	113
S_1114	1	114
S_1115	1	115
S_1116	1	116
S_1117	1	117
S_1118	1	118
S_1119	1	119
S_1127	1	127
S_1128	1	128
S_2001	2	1
S_2002	2	2
S_2003	2	3
S_2004	2	4
S_2005	2	5
S_2006	2	6
S_2007	2	7
S_2008	2	8
S_2009	2	9
S_2010	2	10
S_2011	2	11
S_2012	2	12
S_2013	2	13
S_2014	2	14
S_2015	2	15
S_2016	2	16
S_2017	2	17
S_2018	2	18
S_2019	2	19
S_2020	2	20
S_2021	2	21
S_2022	2	22
S_2023	2	23
S_2024	2	24
S_2025	2	25
S_2026	2	26
S_2027	2	27
S_2028	2	28
S_2029	2	29
S_2030	2	30
S_2031	2	31
S_2032	2	32
S_2033	2	33
S_2034	2	34
S_2035	2	35
S_2036	2	36
S_2037	2	37
S_2038	2	38
S_2039	2	39
S_2040	2	40
S_2041	2	41
S_2042	2	42
S_2043	2	43
S_2044	2	44
S_2045	2	45
S_2046	2	46
S_2047	2	47
S_2048	2	48
S_2049	2	49
S_2050	2	50
S_2051	2	51
S_2052	2	52
S_2053	2	53
S_2054	2	54
S_2055	2	55
S_2056	2	56
S_2057	2	57
S_2058	2	58
S_2060	2	60
S_2061	2	61
S_2062	2	62
S_2063	2	63
S_2064	2	64
S_2065	2	65
S_2066	2	66
S_2067	2	67
S_2068	2	68
S_2069	2	69
S_2070	2	70
S_2071	2	71
S_2072	2	72
S_2073	2	73
S_2074	2	74
S_2075	2	75
S_2076	2	76
S_2077	2	77
S_2078	2	78
S_2079	2	79
S_2080	2	80
S_2081	2	81
S_2082	2	82
S_2083	2	83
S_2084	2	84
S_2085	2	85
S_2086	2	86
S_2087	2	87
S_2088	2	88
S_2089	2	89
S_2090	2	90
S_2091	2	91
S_2092	2	92
S_2093	2	93
S_2094	2	94
S_2095	2	95
S_2096	2	96
S_2097	2	97
S_2098	2	98
S_2099	2	99
S_2100	2	100
S_2101	2	101
S_2104	2	104
S_2105	2	105
S_2106	2	106
S_2107	2	107
S_2108	2	108
S_2109	2	109
S_2110	2	110
S_2111	2	111
S_2112	2	112
S_2113	2	113
S_2114	2	114
S_2115	2	115
S_2116	2	116
S_2117	2	117
S_2118	2	118
S_2119	2	119
S_2127	2	127
S_2128	2	128
S_3001	3	1
S_3002	3	2
S_3003	3	3
S_3004	3	4
S_3005	3	5
S_3006	3	6
S_3007	3	7
S_3008	3	8
S_3009	3	9
S_3010	3	10
S_3011	3	11
S_3012	3	12
S_3013	3	13
S_3014	3	14
S_3015	3	15
S_3016	3	16
S_3018	3	18
S_3019	3	19
S_3020	3	20
S_3021	3	21
S_3022	3	22
S_3023	3	23
S_3024	3	24
S_3025	3	25
S_3026	3	26
S_3027	3	27
S_3028	3	28
S_3029	3	29
S_3030	3	30
S_3031	3	31
S_3032	3	32
S_3033	3	33
S_3034	3	34
S_3035	3	35
S_3036	3	36
S_3037	3	37
S_3038	3	38
S_3039	3	39
S_3040	3	40
S_3041	3	41
S_3042	3	42
S_3043	3	43
S_3044	3	44
S_3045	3	45
S_3046	3	46
S_3047	3	47
S_3048	3	48
S_3049	3	49
S_3050	3	50
S_3051	3	51
S_3052	3	52
S_3053	3	53
S_3054	3	54
S_3055	3	55
S_3056	3	56
S_3057	3	57
S_3058	3	58
S_3059	3	59
S_3060	3	60
S_3061	3	61
S_3062	3	62
S_3063	3	63
S_3064	3	64
S_3065	3	65
S_3066	3	66
S_3067	3	67
S_3068	3	68
S_3069	3	69
S_3070	3	70
S_3071	3	71
S_3072	3	72
S_3073	3	73
S_3074	3	74
S_3075	3	75
S_3076	3	76
S_3077	3	77
S_3078	3	78
S_3079	3	79
S_3080	3	80
S_3081	3	81
S_3082	3	82
S_3083	3	83
S_3084	3	84
S_3085	3	85
S_3086	3	86
S_3087	3	87
S_3088	3	88
S_3089	3	89
S_3090	3	90
S_3091	3	91
S_3092	3	92
S_3093	3	93
S_3094	3	94
S_3095	3	95
S_3096	3	96
S_3098	3	98
S_3099	3	99
S_3100	3	100
S_3101	3	101
S_3104	3	104
S_3105	3	105
S_3106	3	106
S_3107	3	107
S_3108	3	108
S_3109	3	109
S_3110	3	110
S_3111	3	111
S_3112	3	112
S_3113	3	113
S_3114	3	114
S_3115	3	115
S_3116	3	116
S_3117	3	117
S_3118	3	118
S_3119	3	119
S_3127	3	127
S_3128	3	128
S_4001	4	1
S_4002	4	2
S_4003	4	3
S_4004	4	4
S_4005	4	5
S_4006	4	6
S_4007	4	7
S_4008	4	8
S_4009	4	9
S_4010	4	10
S_4011	4	11
S_4012	4	12
S_4013	4	13
S_4014	4	14
S_4015	4	15
S_4016	4	16
S_4017	4	17
S_4018	4	18
S_4019	4	19
S_4020	4	20
S_4021	4	21
S_4022	4	22
S_4023	4	23
S_4024	4	24
S_4025	4	25
S_4026	4	26
S_4027	4	27
S_4028	4	28
S_4029	4	29
S_4030	4	30
S_4031	4	31
S_4032	4	32
S_4033	4	33
S_4034	4	34
S_4035	4	35
S_4036	4	36
S_4037	4	37
S_4038	4	38
S_4039	4	39
S_4040	4	40
S_4041	4	41
S_4042	4	42
S_4043	4	43
S_4044	4	44
S_4045	4	45
S_4046	4	46
S_4047	4	47
S_4048	4	48
S_4049	4	49
S_4050	4	50
S_4051	4	51
S_4052	4	52
S_4053	4	53
S_4054	4	54
S_4055	4	55
S_4056	4	56
S_4057	4	57
S_4058	4	58
S_4059	4	59
S_4060	4	60
S_4061	4	61
S_4062	4	62
S_4063	4	63
S_4064	4	64
S_4065	4	65
S_4066	4	66
S_4070	4	70
S_4071	4	71
S_4072	4	72
S_4073	4	73
S_4074	4	74
S_4076	4	76
S_4077	4	77
S_4078	4	78
S_4079	4	79
S_4080	4	80
S_4081	4	81
S_4082	4	82
S_4083	4	83
S_4084	4	84
S_4085	4	85
S_4086	4	86
S_4087	4	87
S_4088	4	88
S_4089	4	89
S_4090	4	90
S_4091	4	91
S_4092	4	92
S_4093	4	93
S_4094	4	94
S_4095	4	95
S_4096	4	96
S_4097	4	97
S_4098	4	98
S_4099	4	99
S_4100	4	100
S_4101	4	101
S_4104	4	104
S_4105	4	105
S_4106	4	106
S_4107	4	107
S_4108	4	108
S_4109	4	109
S_4110	4	110
S_4111	4	111
S_4112	4	112
S_4113	4	113
S_4114	4	114
S_4115	4	115
S_4116	4	116
S_4117	4	117
S_4118	4	118
S_4119	4	119
S_4127	4	127
S_4128	4	128
S_5001	5	1
S_5002	5	2
S_5003	5	3
S_5004	5	4
S_5005	5	5
S_5006	5	6
S_5007	5	7
S_5008	5	8
S_5009	5	9
S_5010	5	10
S_5011	5	11
S_5012	5	12
S_5013	5	13
S_5014	5	14
S_5015	5	15
S_5016	5	16
S_5017	5	17
S_5018	5	18
S_5019	5	19
S_5020	5	20
S_5021	5	21
S_5022	5	22
S_5023	5	23
S_5024	5	24
S_5025	5	25
S_5026	5	26
S_5027	5	27
S_5028	5	28
S_5029	5	29
S_5030	5	30
S_5031	5	31
S_5032	5	32
S_5033	5	33
S_5034	5	34
S_5035	5	35
S_5036	5	36
S_5037	5	37
S_5038	5	38
S_5039	5	39
S_5040	5	40
S_5041	5	41
S_5042	5	42
S_5043	5	43
S_5044	5	44
S_5045	5	45
S_5046	5	46
S_5047	5	47
S_5048	5	48
S_5049	5	49
S_5050	5	50
S_5051	5	51
S_5052	5	52
S_5053	5	53
S_5054	5	54
S_5055	5	55
S_5056	5	56
S_5057	5	57
S_5058	5	58
S_5059	5	59
S_5060	5	60
S_5061	5	61
S_5062	5	62
S_5063	5	63
S_5064	5	64
S_5065	5	65
S_5066	5	66
S_5067	5	67
S_5068	5	68
S_5069	5	69
S_5070	5	70
S_5071	5	71
S_5072	5	72
S_5073	5	73
S_5074	5	74
S_5075	5	75
S_5076	5	76
S_5077	5	77
S_5078	5	78
S_5079	5	79
S_5080	5	80
S_5081	5	81
S_5082	5	82
S_5083	5	83
S_5084	5	84
S_5085	5	85
S_5086	5	86
S_5087	5	87
S_5088	5	88
S_5089	5	89
S_5090	5	90
S_5091	5	91
S_5092	5	92
S_5093	5	93
S_5094	5	94
S_5095	5	95
S_5096	5	96
S_5097	5	97
S_5098	5	98
S_5099	5	99
S_5100	5	100
S_5101	5	101
S_5104	5	104
S_5105	5	105
S_5106	5	106
S_5107	5	107
S_5108	5	108
S_5109	5	109
S_5110	5	110
S_5111	5	111
S_5112	5	112
S_5113	5	113
S_5114	5	114
S_5115	5	115
S_5116	5	116
S_5117	5	117
S_5118	5	118
S_5119	5	119
S_5127	5	127
S_5128	5	128
