sample	Clade	S_1001	S_1003	S_1004	S_1007	S_1011	S_1012	S_1014	S_1015	S_1017	S_1018	S_1021	S_1023	S_1025	S_1026	S_1027	S_1028	S_1029	S_1030	S_1031	S_1033	S_1035	S_1036	S_1037	S_1042	S_1049	S_1050	S_1057	S_1058	S_1059	S_1060	S_1061	S_1062	S_1063	S_1064	S_1072	S_1075	S_1079	S_1080	S_1085	S_1088	S_1090	S_1092	S_1106	S_1107	S_1108	S_1109	S_1110	S_1112	S_1114	S_1118	S_1128	S_2001	S_2004	S_2007	S_2010	S_2011	S_2014	S_2015	S_2016	S_2017	S_2018	S_2019	S_2022	S_2023	S_2025	S_2026	S_2027	S_2028	S_2029	S_2030	S_2031	S_2032	S_2033	S_2040	S_2046	S_2049	S_2050	S_2051	S_2052	S_2053	S_2056	S_2057	S_2058	S_2059	S_2060	S_2061	S_2064	S_2074	S_2077	S_2078	S_2080	S_2082	S_2084	S_2085	S_2087	S_2088	S_2089	S_2091	S_2099	S_2105	S_2106	S_2107	S_2110	S_2112	S_2113	S_2115	S_2116	S_2117	S_2119	S_2128	S_3001	S_3002	S_3005	S_3009	S_3025	S_3026	S_3027	S_3028	S_3029	S_3030	S_3033	S_3035	S_3043	S_3044	S_3049	S_3050	S_3051	S_3052	S_3055	S_3056	S_3057	S_3058	S_3060	S_3061	S_3062	S_3063	S_3068	S_3070	S_3071	S_3072	S_3074	S_3075	S_3077	S_3078	S_3081	S_3082	S_3084	S_3085	S_3087	S_3088	S_3089	S_3092	S_3097	S_3098	S_3099	S_3104	S_3105	S_3106	S_3107	S_3108	S_3109	S_3110	S_3114	S_3115	S_3116	S_3117	S_3119	S_3128	S_4001	S_4003	S_4005	S_4011	S_4015	S_4016	S_4021	S_4026	S_4052	S_4053	S_4057	S_4066	S_4075	S_4079	S_4080	S_4081	S_4082	S_4084	S_4094	S_4098	S_4099	S_4105	S_4106	S_4107	S_4108	S_4111	S_4112	S_4117	S_4119	S_4127	S_5010	S_5015	S_5019	S_5028	S_5029	S_5031	S_5032	S_5033	S_5036	S_5038	S_5039	S_5043	S_5048	S_5049	S_5050	S_5066	S_5071	S_5075	S_5080	S_5082	S_5084	S_5085	S_5089	S_5091	S_5092	S_5093	S_5096	S_5097	S_5098	S_5099	S_5106	S_5107	S_5108	S_5109	S_5110	S_5113	S_5114	S_5115	S_5116	S_5118	S_5119	S_5127	S_5128
X_012	nonpathogenic	0	1151	232	262	506	451	1078	875	583	870	255	144	534	3263	371	37	1942	1450	3530	1126	263	589	637	209	163	1009	514	604	1265	1049	1679	0	651	642	0	0	245	402	0	334	0	913	101	0	0	0	1119	0	1099	326	0	0	0	0	923	815	508	0	1078	0	2043	243	1681	673	1536	2267	911	575	982	3801	122	1100	1070	564	0	2301	3411	4621	1072	6334	480	2445	2111	477	2462	733	1358	1	483	767	42	0	438	0	1059	1389	360	0	0	0	0	326	0	0	0	838	0	40	0	0	0	0	0	0	1211	0	0	812	2253	25	665	15	122	149	924	504	1386	402	0	55	1970	0	364	1126	0	0	0	1704	247	252	43	564	0	0	0	949	0	0	1023	897	727	573	0	633	0	0	74	55	1820	81	632	406	0	0	0	312	0	0	0	0	0	459	0	501	758	333	1693	1839	1367	63	586	0	25	549	481	384	0	494	154	686	161	1433	42	59	28	1283	83	23	447	235	766	256	146	721	365	181	556	805	3455	0	0	0	589	64	0	652	0	723	0	318	0	0	0	0	0	0	412	0	0	0	0	0	174	0	0	0	0	0	0	0	0
X_040	nonpathogenic	1739	436	0	1549	121	0	2031	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	792	0	1007	310	0	291	1218	335	0	0	0	0	67	165	226	129	11	604	0	0	0	22	147	51	457	1068	1333	0	0	784	261	1368	0	423	0	123	86	295	0	0	0	0	0	0	0	0	0	72	0	0	0	0	220	1301	0	1907	0	0	0	0	0	116	0	0	0	0	88	0	494	2699	871	2263	593	237	779	0	0	362	493	1532	0	238	885	502	425	0	272	18	0	0	0	425	0	1209	0	0	0	0	0	0	192	0	544	150	0	0	0	585	736	652	0	0	0	1204	22	563	232	577	0	0	879	0	0	71	0	250	676	60	211	0	0	0	595	0	2029	2075	1238	591	1575	873	0	0	0	403	729	244	0	0	0	0	769	0	0	0	0	0	0	0	0	2	0	0	0	0	16	0	0	0	0	0	0	0	0	768	0	0	0	0	0	0	0	0	0	0	0	0	0	165	0	373	0	0	145	1289	17	0	360	216	11	0	0	433	1582	164	2959	617	278	1136	1927	732	0	195	1957	624	499	0	462	728	328
X_046	nonpathogenic	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	91	0	0	0	1108	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	899	0	0	323	0	0	617	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
X_053	nonpathogenic	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	668	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
X_056	nonpathogenic	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	526	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
X_060	nonpathogenic	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	463	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
X_066	nonpathogenic	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	391	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
X_098	nonpathogenic	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	131	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
X_108	nonpathogenic	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	91	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
X_187	nonpathogenic	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
